country,city,Top_left_lat,Top_left_lng,Bottom_right_lat,Bottom_right_lng
UAE,Abu Dhabi/Dubai/N.Emirates/Sharjah,24.352850,51.568321,22.649691,56.017808
UAE,Abu Dhabi/Dubai/N.Emirates/Sharjah,26.252530,54.512569,24.370972,56.436602
Qatar,Doha,25.401292,51.392531,25.172563,51.623749
Jordan,Amman,32.075823,35.694983,31.582060,36.225220
Saudi Arabia,Saudi Arabia,25.035196,37.053336,15.918311,55.414660
Saudi Arabia,Saudi Arabia,31.684662,33.959316,24.912201,50.763000
Lebanon,Beirut,33.909731,35.466159,33.866122,35.536549
Bahrain,Manama,26.258241,50.550347,26.230555,50.606558
Bahrain,Manama,26.225026,50.560690,26.196584,50.624722
Egypt,Egypt,31.687916,24.572387,25.655648,34.949201
Egypt,Egypt,25.717833,24.771443,22.001043,36.933934
Kuwait,Kuwait,29.393183,47.976429,29.379645,48.005250
Kuwait,Kuwait,29.380417,47.957082,29.359223,47.995299
Oman,Muscat,23.647915,58.228650,23.518424,58.616609
